["0.64","0.13","1-1","1.5","汗水","350",0,"0.64","0.13","500",0,1,"SimHei",0],40.40200,2019-02-12 11:33:12
["0.54","0.22","1-1","1.5","因为","330",0,"0.54","0.22","500",0,1,"SimHei",0],40.40200,2019-02-12 11:32:48
["0.81","0.1","1-1","1.5","泪水","10",0,"0.81","0.1","500",0,1,"SimHei",0],40.40200,2019-02-12 11:34:15
["0.75","0.1","1-1","1.5","与","0",0,"0.75","0.1","500",0,1,"SimHei",0],40.40200,2019-02-12 11:33:45
["0.71","0.86","1-1","1.3","变得黏糊糊的","305",0,"0.71","0.86","500",0,1,"SimHei",0],41.80100,2019-02-12 11:35:16
["0.22","0.6","1-1","2.2","总觉得很不得了呢","0",0,"0.22","0.6","500",0,1,"SimHei",0],43.08000,2019-02-12 11:36:12
["0.2","0.58","1-1","2.2","悄悄偷窥的女式长裤 ",0,0,"0.2","0.58",500,0,1,"SimHei",true],49.82100,2019-02-12 11:41:11
["0.16","0.58","1-1","2.4","轻轻摇动的无袖连衣裙　",0,0,"0.16","0.58",500,0,1,"SimHei",true],46.21000,2019-02-12 11:40:24
["0.35","0.58","1-1","1.2","视线相合",0,0,"0.35","0.58",500,0,1,"SimHei",true],53.07800,2019-02-12 11:42:17
["0.23","0.58","1-1","3.3","校内男女们的关系",0,0,"0.23","0.58",500,0,1,"SimHei",true],56.28600,2019-02-12 11:43:08
["0.35","0.58","1-1","1.2","假装困惑",0,0,"0.35","0.58",500,0,1,"SimHei",true],54.67600,2019-02-12 11:42:28
["0.45","0.57","1-1","0.5","呐",0,0,"0.45","0.57",500,0,1,"SimHei",true],60.58000,2019-02-12 11:46:12
["0.75","0.18","1-1","0.8","叮",0,0,"0.75","0.18",500,0,1,"SimHei",true],61.09300,2019-02-12 11:47:18
["0.75","0.43","1-1","0.8","叮",0,0,"0.75","0.43",500,0,1,"SimHei",true],61.41800,2019-02-12 11:47:48
["0.75","0.7","1-1","0.8","当",0,0,"0.75","0.7",500,0,1,"SimHei",true],61.85800,2019-02-12 11:48:17
["0.27","0.57","1-1","1.5","来吧　起舞吧 ",0,0,"0.27","0.57",500,0,1,"SimHei",true],62.31700,2019-02-12 11:49:14
["0.24","0.57","1-1","1.5","熟练地  动起来\n",0,0,"0.24","0.57",500,0,1,"SimHei",true],64.15900,2019-02-12 11:51:06
["0.24","0.57","1-1","1.5","      跳",0,0,"0.24","0.57",500,0,1,"SimHei",true],64.15900,2019-02-12 11:51:18
["0.58","0.34","1-1","0.8","诶 撒",0,0,"0.58","0.34",500,0,1,"SimHei",true],65.82200,2019-02-12 11:53:06
["0.17","0.54","1-1","0.8","嚯 撒 ",0,0,"0.17","0.54",500,0,1,"SimHei",true],66.29800,2019-02-12 11:53:46
["0.16","0.54","1-1","2","自卑感　看吧很　　吧",0,0,"0.16","0.54",500,0,1,"SimHei",true],67.44000,2019-02-12 11:55:04
["0.16","0.54","1-1","2","　　　　　　　害羞",0,0,"0.16","0.54",500,0,1,"SimHei",true],67.44000,2019-02-12 11:55:22
["0.3","0.6","1-1","2.1","　　　人生",0,0,"0.3","0.6",500,0,1,"SimHei",true],70.20400,2019-02-12 11:56:59
["0.3","0.6","1-1","2.1","那也是　　啊",0,0,"0.3","0.6",500,0,1,"SimHei",true],70.20400,2019-02-12 11:56:42
["0.46","0.63","1-1","0.5","呐",0,0,"0.46","0.63",500,0,1,"SimHei",true],73.40300,2019-02-12 12:03:55
["0.7","0.16","1-1","0.8","叮",0,0,"0.7","0.16",500,0,1,"SimHei",true],74.10400,2019-02-12 12:04:35
["0.7","0.41","1-1","0.8","叮",0,0,"0.7","0.41",500,0,1,"SimHei",true],74.23900,2019-02-12 12:05:02
["0.7","0.66","1-1","0.8","当",0,0,"0.7","0.66",500,0,1,"SimHei",true],74.64500,2019-02-12 12:05:34
["0.26","0.55","1-1","1.5","更加更加激烈些",0,0,"0.26","0.55",500,0,1,"SimHei",true],76.99100,2019-02-12 12:06:54
["0.3","0.55","1-1","1.5","来吧　起舞吧 ",0,0,"0.3","0.55",500,0,1,"SimHei",true],74.97900,2019-02-12 12:06:31
["0.16","0.53","1-1","0.8","嚯 撒 ",0,0,"0.16","0.53",500,0,1,"SimHei",true],79.12100,2019-02-12 12:09:07
["0.58","0.36","1-1","0.8","诶 撒",0,0,"0.58","0.36",500,0,1,"SimHei",true],78.68600,2019-02-12 12:08:43
["0.16","0.54","1-1","1.5","绝顶感　看吧直到最后",0,0,"0.16","0.54",500,0,1,"SimHei",true],80.27900,2019-02-12 12:09:57
["0.86","0.16","1-1","2.2","照",0,0,"0.86","0.16",500,0,1,"SimHei",true],83.02200,2019-02-12 12:11:31
["0.89","0.33","1-1","2.2","顾",0,0,"0.89","0.33",500,0,1,"SimHei",true],83.02200,2019-02-12 12:11:46
["0.29","0.36","1-1","2.2","我 都 会",0,0,"0.29","0.36",500,0,1,"SimHei",true],83.02200,2019-02-12 12:10:56
["0.9","0.63","1-1","2.2","的",0,0,"0.9","0.63",500,0,1,"SimHei",true],83.02200,2019-02-12 12:12:26
["0.84","0.48","1-1","2.2","你",0,0,"0.84","0.48",500,0,1,"SimHei",true],83.02200,2019-02-12 12:12:07
["0.18","0.55","1-1","2","穿着拖鞋　Shall we dance",0,0,"0.18","0.55",500,0,1,"SimHei",true],86.22500,2019-02-12 12:13:34
["0.34","0.45","1-1","2","学","340",0,"0.34","0.45",500,0,1,"SimHei",true],103.41400,2019-02-12 12:21:33
["0.44","0.42","1-1","2","长","20",0,"0.44","0.42",500,0,1,"SimHei",true],103.41400,2019-02-12 12:22:04
["0.49","0.51","1-1","2","为什么觉得那孩子比较好呢","38",0,"0.49","0.51",500,0,1,"SimHei",true],103.41400,2019-02-12 12:22:51
["0.55","0.51","1-1","2","　　我　是","58",0,"0.55","0.51",500,0,1,"SimHei",true],106.09500,2019-02-12 12:24:24
["0.55","0.51","1-1","2","明明　才　更好的吧 ","58",0,"0.55","0.51",500,0,1,"SimHei",true],106.09500,2019-02-12 12:24:06
["0.31","0.32","1-1","1.5","啊 ","0",0,"0.31","0.32",500,0,1,"SimHei",true],108.65100,2019-02-12 12:25:21
["0.48","0.35","1-1","1.5","啊","0",0,"0.48","0.35",500,0,1,"SimHei",true],108.65100,2019-02-12 12:25:43
["0.44","0.55","1-1","1.4","奇 　 怪 　","0",0,"0.44","0.55",500,0,1,"SimHei",true],109.44800,2019-02-12 12:26:43
["0.44","0.55","1-1","1.4","　 奇 　 怪","0",0,"0.44","0.55",500,0,1,"SimHei",true],109.44800,2019-02-12 12:27:06
["0.24","0.87","1-1","1.1","去 去 去 　 现 在","0",0,"0.24","0.87",500,0,1,"SimHei",true],112.27000,2019-02-12 12:29:16
["0.15","0.53","1-1","1.5","对 碍 事 的 猫","0",0,"0.15","0.53",500,0,1,"SimHei",true],110.87500,2019-02-12 12:28:32
["0.26","0.6","1-1","2","就 给 我 回 去","0",0,"0.26","0.6",500,0,1,"SimHei",true],113.65300,2019-02-12 12:30:07
["0.03","0.71","1-1","2","香味轻柔的唇膏","0",0,"0.03","0.71",500,0,1,"SimHei",true],116.64200,2019-02-12 12:31:01
["0.21","0.59","1-1","2.2","彻底湿透的垂肩长发 ","0",0,"0.21","0.59",500,0,1,"SimHei",true],120.20900,2019-02-12 12:31:53
["0.5","0.6","1-1","1.5","听不见老师的话","0",0,"0.5","0.6",500,0,1,"SimHei",true],123.41500,2019-02-12 12:34:21
["0.57","0.68","1-1","1.1","寒蝉鸣叫的","0",0,"0.57","0.68",500,0,1,"SimHei",true],126.40600,2019-02-12 12:35:33
["0.71","0.24","1-1","1.5","也听不见","0",0,"0.71","0.24",500,0,1,"SimHei",true],124.84800,2019-02-12 12:34:55
["0.2","0.6","1-1","2.2","男 　 关 　","0",0,"0.2","0.6",500,0,1,"SimHei",true],127.40800,2019-02-12 12:36:26
